CustomerID,Cluster
C0001,1
C0002,1
C0003,1
C0004,0
C0005,1
C0006,1
C0007,1
C0008,0
C0009,1
C0010,1
C0011,1
C0012,0
C0013,0
C0014,1
C0015,1
C0016,1
C0017,0
C0018,0
C0019,1
C0020,1
C0021,0
C0022,0
C0023,0
C0024,0
C0025,1
C0026,1
C0027,1
C0028,0
C0029,1
C0030,1
C0031,1
C0032,1
C0033,1
C0034,0
C0035,1
C0036,1
C0037,0
C0038,1
C0039,0
C0040,1
C0041,0
C0042,1
C0043,1
C0044,1
C0045,0
C0046,0
C0047,0
C0048,1
C0049,0
C0050,1
C0051,0
C0052,1
C0053,0
C0054,0
C0055,1
C0056,1
C0057,0
C0058,1
C0059,0
C0060,1
C0061,1
C0062,1
C0063,1
C0064,1
C0065,0
C0066,1
C0067,0
C0068,0
C0069,1
C0070,1
C0071,1
C0072,1
C0073,1
C0074,1
C0075,0
C0076,1
C0077,1
C0078,1
C0079,1
C0080,1
C0081,0
C0082,0
C0083,1
C0084,0
C0085,1
C0086,1
C0087,0
C0088,1
C0089,1
C0090,0
C0091,0
C0092,1
C0093,0
C0094,1
C0095,1
C0096,0
C0097,1
C0098,0
C0099,0
C0100,0
C0101,0
C0102,0
C0103,1
C0104,0
C0105,0
C0106,1
C0107,1
C0108,0
C0109,0
C0110,1
C0111,1
C0112,1
C0113,0
C0114,0
C0115,1
C0116,1
C0117,1
C0118,1
C0119,1
C0120,1
C0121,1
C0122,0
C0123,1
C0124,0
C0125,1
C0126,0
C0127,1
C0128,1
C0129,1
C0130,1
C0131,1
C0132,1
C0133,1
C0134,1
C0135,1
C0136,0
C0137,1
C0138,0
C0139,0
C0140,1
C0141,0
C0142,1
C0143,0
C0144,1
C0145,0
C0146,1
C0147,0
C0148,0
C0149,0
C0150,1
C0151,1
C0152,1
C0153,0
C0154,1
C0155,0
C0156,0
C0157,1
C0158,1
C0159,1
C0160,1
C0161,0
C0162,0
C0163,0
C0164,1
C0165,0
C0166,1
C0167,1
C0168,1
C0169,0
C0170,0
C0171,0
C0172,1
C0173,0
C0174,1
C0175,0
C0176,1
C0177,1
C0178,1
C0179,0
C0181,0
C0182,0
C0183,1
C0184,0
C0185,1
C0186,1
C0187,1
C0188,0
C0189,1
C0190,1
C0191,1
C0192,1
C0193,1
C0194,0
C0195,0
C0196,1
C0197,1
C0198,1
C0199,1
C0200,0
