cust_id,lookalikes
C0001,"[('C0004', 0.9319495448266092), ('C0064', 0.8395126957258012), ('C0018', 0.8166234184828344)]"
C0002,"[('C0159', 0.9957340276529169), ('C0062', 0.8779400746380553), ('C0144', 0.8729570803840919)]"
C0003,"[('C0031', 0.9899335889936369), ('C0158', 0.9118258367429557), ('C0149', 0.8599613006534162)]"
C0004,"[('C0001', 0.9319495448266092), ('C0065', 0.8436927088092914), ('C0018', 0.8396016924207511)]"
C0005,"[('C0197', 0.9162073303220573), ('C0163', 0.8714985096411029), ('C0128', 0.1268677330391766)]"
C0006,"[('C0187', 0.9899858466995829), ('C0079', 0.8624285303963376), ('C0135', 0.8561563228281521)]"
C0007,"[('C0140', 0.9872555278492053), ('C0069', 0.8654956890716495), ('C0199', 0.8545733226256351)]"
C0008,"[('C0045', 0.8885574331849928), ('C0075', 0.8877279399999791), ('C0145', 0.8871468389456398)]"
C0009,"[('C0092', 0.9061888590043765), ('C0072', 0.8870472815477646), ('C0014', 0.14196235155502557)]"
C0010,"[('C0132', 0.9706563685500178), ('C0061', 0.9466105331101342), ('C0142', 0.8769265658550507)]"
C0011,"[('C0032', 0.9380649362043604), ('C0094', 0.8526959446503402), ('C0156', 0.8279496556501108)]"
C0012,"[('C0082', 0.0670493376203734), ('C0087', 0.05916044742454444), ('C0004', 0.05825007321196027)]"
C0013,"[('C0101', 0.8400589258290001), ('C0105', 0.8321716941214979), ('C0056', 0.7953752410659101)]"
C0014,"[('C0060', 0.9707592793632247), ('C0097', 0.8555190721276896), ('C0089', 0.8552416467586609)]"
C0015,"[('C0038', 0.8922418980290178), ('C0123', 0.8309466211732849), ('C0137', 0.8011782006053757)]"
C0016,"[('C0107', 0.9162650116494113), ('C0192', 0.9049371869763801), ('C0050', 0.12872097420010395)]"
C0017,"[('C0190', 0.9411617551997888), ('C0075', 0.09516912140624806), ('C0141', 0.08594622861100981)]"
C0018,"[('C0065', 0.9458834972194751), ('C0004', 0.8396016924207511), ('C0064', 0.8187151557790908)]"
C0019,"[('C0112', 0.841447487080718), ('C0191', 0.835967488918701), ('C0125', 0.8152190993855856)]"
C0020,"[('C0130', 0.9304365031762646), ('C0120', 0.9175085013640324), ('C0015', 0.14936949341818936)]"
